Relatório de Textos Padrão, , , ,Data da geração: 23/02/2026 21:48:23, , ,Total de Textos Padrão Listados: 104
Órgão,Código,Descrição,Sigla auto-texto,Classificação,Público,Usuário,Inclusão
GabRJL,20000016663,"HONORÁRIOS - Não fixação/majoração de honorários recursais. Cabimento apenas em caso de não conhecimento integral ou improvimento do recurso (art. 85, §11º, CPC, EDcl no AgInt no REsp 1.573.573-RJ)",hon-recursais-nao-fixa-majora,Honorários - Sucumbência,N,RBRACKMANN,11/12/2023 16:44:36
GabRJL,20000022902,HONORÁRIOS - Arbitramento. Revogação de mandato (direito potestativo). Necessidade de remuneração proporcional ao trabalho prestado. Vedação ao enriquecimento sem causa. Art. 22 EOAB e Art. 14 CED/OAB,hon-arbit-revog-intro,Honorários - MÉRITO,N,RBRACKMANN,14/08/2024 13:38:25
GabRJL,20000029350,"HONORÁRIOS - Revisional bancária. Fixação sobre o valor da causa ante a impossibilidade de mensurar o proveito econômico imediato (Tema 1076 STJ, REsp 1.989.284/RS).",hon-rev-banc-vlcausa,Honorários - Sucumbência - Bancário,N,RBRACKMANN,30/04/2025 12:17:01
GabRJL,20000037984,HONORÁRIOS - Cobrança. Prescrição. Cláusula de êxito (termo inicial na ciência do levantamento do alvará). Interrupção por demanda anterior extinta sem mérito (afastamento da inércia).,hon-presc-interrup-exito,Honorários - MÉRITO - Prescrição,N,RBRACKMANN,13/10/2025 11:56:24
GabRJL,20000038502,HONORÁRIOS - Responsabilização pessoal do advogado pelas custas e despesas processuais. Ausência de regularização de procuração com indícios de fraude equivale a inexistência de mandato.,hon-resp-adv-sem-mandato,Honorários - Nulidades - Sucumbência,N,RBRACKMANN,30/10/2025 11:33:25
GabRJL,20000040640,"HONORÁRIOS - Sucumbência. Fixação por equidade para evitar distorção quando inestimável o proveito econômico ou valor da causa desproporcional (Tema 1076 STJ, REsp 1.978.842/MA)",hon-equidade-distorção,Honorários - Sucumbência,N,RBRACKMANN,04/02/2026 16:42:31
GabRJL,20000016533,LOCAÇÃO - Liminar de despejo e requisitos do art 59 da Lei 8245/91 - Texto introdutório,estr-loc-despejo-liminar,Estrutura - Despejo - Locação - LIMINAR,N,RBRACKMANN,04/12/2023 14:04:47
GabRJL,20000027908,"LOCAÇÃO - Função social e direito fundamental à moradia não impedem o despejo por inadimplemento. Inexistência de direito a moradia gratuita em imóvel alheio (Art. 6º CF, Lei 8245, dignidade, liminar)",loc-moradia-funcaosocial,Locação - Despejo,N,RBRACKMANN,11/03/2025 11:28:19
GabRJL,20000040351,"LOCAÇÃO - Requisitos para despejo liminar por falta de garantia após exoneração de fiança e validade da notificação eletrônica (art 59 §1 IX, art 40 pu Lei 8245, art 835 CC, e-mail, prazo determinado)",loc-despejo-fianca,Locação - Despejo,N,luanaraffa,26/01/2026 14:23:29
GabRJL,20000040356,LOCAÇÃO - Possibilidade de dispensa de caução para despejo liminar se o inadimplemento for superior a três meses de aluguel. Crédito supre a garantia.,loc-despejo-caução,Locação - Despejo,N,luanaraffa,26/01/2026 15:59:32
GabRJL,20000040357,"LOCAÇÃO - Pedido de efeito suspensivo à apelação - excepcionalidade mediante prova de risco de dano e probabilidade (Art. 58, V, Lei 8245, Art. 1012 CPC, despejo, sentença)",loc-apel-efeito-susp,Locação - Efeito Suspensivo à Apelação,N,luanaraffa,26/01/2026 16:10:55
GabRJL,20000040341,"LOCAÇÃO - Responsabilidade da imobiliária por culpa no exercício do mandato. Inexistência de dever de indenizar danos do locatário sem prova de negligência ou dolo (667 CC, 14 CDC, 186 927 CC)",loc-resp-imobil-mand,Locação - MÉRITO,N,luanaraffa,26/01/2026 12:09:33
GabRJL,20000040343,"LOCAÇÃO - Exame da legitimidade passiva da imobiliária sob a ótica da teoria da asserção, distinguindo atos de gestão de falhas na prestação do serviço (mandatária, 653 667 CC, 186 927)",loc-legit-pass-imobil,Locação - Legitimidade Passiva,N,luanaraffa,26/01/2026 12:34:06
